ID,eyetrial,window,Condition,sum,Target_obj,Target_subj,Target_prop,SubjComp_prop,ObjComp_prop,Distr_prop,GivenSubj_prop,GivenObj_prop,surveyExclude,BL_Pic,Comp_subj_pic,First_pic,lgerror,excludeLargeError,excludeTriggerError,excludeRefError
27,39,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
21,62,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
28,41,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
31,101,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
26,97,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
10,34,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,1,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
15,92,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
26,87,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
14,57,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
20,22,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,1,0,0,0
25,57,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
5,79,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
24,81,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,1,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
