"mt_id","var3","timestamps","xpos","ypos","steps","dist","vel","acc","subject_nr","Condition","Target_subj","Target_obj","Target_pic","Target_pos","responded_correct","initiation_time","AUC","RT"
"id01","Z2",1647.04157201779,-270,204.219110046426,78,4.51094982664446,0.21088911327605,0.000535705020854085,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","A3",1668.43172230373,-270,199.463054532425,79,4.75605551400074,0.222347924181055,0.035073679093029,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","B3",1689.82187258968,-270,178.659439470627,80,20.8036150617985,0.972579191061964,0.0332031716839686,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","C3",1711.21202287562,-270,142.664094069933,81,35.9953454006936,1.6828000233521,0.153925779407787,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","D3",1732.60217316157,-271.749706736966,36.2561585237057,82,106.422320125411,4.97529557776593,-0.103196961349882,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","E3",1753.99232344751,-272,-22.9490466201553,83,59.2057342057691,2.76789706543909,0.0441870401690574,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","F3",1775.38247373346,-270,-102.346868583701,84,79.4230075768657,3.71306449534633,-0.0445657437339303,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","G3",1796.7726240194,-270,-161.379331317374,85,59.0324627336734,2.75979653927263,-0.0249676994335467,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","H3",1818.16277430535,-270,-208.988109573334,86,47.6087782559594,2.22573369609476,-0.0671145767626403,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","I3",1839.55292459129,-270,-225.889383085721,87,16.9012735123873,0.79014281276427,-0.0231329915148713,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","J3",1860.94307487724,-270,-232.206421683118,88,6.31703859739707,0.295324647697676,0.00513858204052783,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","K3",1882.33322516318,-270,-240.874559549796,89,8.66813786667805,0.405239689801225,-0.00258431892224981,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","L3",1903.72337544913,-270,-248.360271937661,90,7.48571238786516,0.349960719667489,-0.00384232923857939,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","M3",1925.11352573507,-271,-254,91,5.72769871913081,0.267772719806194,-0.00596168091804273,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","N3",1946.50367602102,-271,-257,92,3,0.140251469012408,-0.00655682485337944,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","O3",1967.89382630697,-271,-257,93,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","P3",1989.28397659291,-271,-257,94,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","Q3",2010.67412687886,-271,-257,95,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","R3",2032.0642771648,-271,-257,96,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","S3",2053.45442745075,-271,-257,97,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","T3",2074.84457773669,-271,-257,98,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id01","U3",2096.23472802264,-271,-257,99,0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
