"mt_id","var3","dist","vel","acc","subject_nr","Condition","Target_subj","Target_obj","Target_pic","Target_pos","responded_correct","initiation_time","AUC","RT"
"id79","A",0,0,0,99,"GC","lion","kiwi","lion_kiwi","BR_Pic",1,190.08180373319,2335.31365030445,864.008198787225
"id80","A",0,0,0,99,"GC","grizzly","brownie","grizzly_brownie","BL_Pic",1,31.591183586733,-9855.47742786538,1053.0394528911
"id81","A",0,0,0,99,"GG","grizzly","kiwi","grizzly_kiwi","TR_Pic",1,859.210881807189,16876.7365413897,1432.01813634532
"id82","A",0,0,0,99,"GC","panda","brownie","panda_brownie","BL_Pic",1,258.745374220521,73812.6554611344,1124.97988791531
"id83","A",0,0,0,99,"GG","grizzly","bagel","grizzly_bagel","BR_Pic",1,186.753431129123,6606.379861088,565.919488270069
"id84","A",0,0,0,99,"CG","grizzly","cabbage","grizzly_cabbage","BL_Pic",1,167.315380122128,21361.6640908287,478.043943206081
"id85","A",0,0,0,99,"GC","panda","bagel","panda_bagel","TR_Pic",1,1014.62656425191,7452.16170097585,1691.04427375318
"id86","A",0,0,0,99,"GC","zebra","cabbage","zebra_cabbage","BR_Pic",0,0,9742.87173586385,1454.07818733156
"id87","A",0,0,0,99,"GG","zebra","brownie","zebra_brownie","BR_Pic",1,578.495365541857,3847.88366531022,2066.0548769352
"id88","A",0,0,0,99,"CG","panda","kiwi","panda_kiwi","TR_Pic",1,880.741754800198,-15437.0939835303,3522.96701920079
"id89","A",0,0,0,99,"GG","zebra","bagel","zebra_bagel","BR_Pic",1,137.038046177058,22384.0840195711,595.817592074163
"id90","A",0,0,0,99,"CG","panda","garlic","panda_garlic","TR_Pic",1,0,544.504381793668,249.842046557926
"id91","A",0,0,0,99,"GG","lion","brownie","lion_brownie","BR_Pic",1,0,-82538.1553169951,1775.89206338674
"id92","A",0,0,0,99,"CG","panda","berries","panda_berries","TL_Pic",1,166.306835693791,-16931.9439931035,692.945148724131
"id93","A",0,0,0,99,"GC","zebra","berries","zebra_berries","BL_Pic",1,0,-11291.5614428921,646.105500523001
"id94","A",0,0,0,99,"CG","panda","bagel","panda_bagel","BR_Pic",1,0,5025.4571139104,453.907932688948
"id95","A",0,0,0,99,"GC","lion","melon","lion_melon","TL_Pic",1,0,13708.4399144536,552.06154524209
"id96","A",0,0,0,99,"GC","lion","cabbage","lion_cabbage","BR_Pic",0,10.621529061771,14389.9899895014,1062.1529061771
